kernel,requested_ratio,actual_allocation_ratio,tenant_requested_bytes,block,policy,high_s,low_s,both_finished_s,high_kernel_ms,low_kernel_ms,release_skew_us,source
hotspot,0.8,0.799383835714828,13467726848,3,prefetch_only,4.547523,5.711622,5.711622,650.933,275.604,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block03_prefetch_only
hotspot,0.8,0.799383835714828,13467726848,4,combined,2.864433,4.901883,4.901883,275.491,275.578,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block04_combined
hotspot,0.8,0.799383835714828,13467726848,4,baseline,5.311521,5.071218,5.311521,603.029,613.08,0.95367431640625,hotspot/ratio-0.8/combined_20260908_040018/block04_baseline
hotspot,0.8,0.799383835714828,13467726848,4,sched_only,3.167168,4.718912,4.718912,275.478,275.523,3.0994415283203125,hotspot/ratio-0.8/combined_20260908_040018/block04_sched_only
hotspot,0.8,0.799383835714828,13467726848,4,prefetch_only,4.562766,5.69891,5.69891,645.271,275.638,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block04_prefetch_only
hotspot,0.8,0.799383835714828,13467726848,4,memory_only,4.525098,5.769917,5.769917,650.007,275.646,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block04_memory_only
hotspot,1.0,0.9991912455985659,16834658304,0,baseline,18.901141,18.653939,18.901141,4057.34,4050.6,0.95367431640625,hotspot/ratio-1.0/combined_20260908_042129/block00_baseline
hotspot,1.0,0.9991912455985659,16834658304,0,sched_only,3.519552,5.322124,5.322124,344.431,344.565,3.0994415283203125,hotspot/ratio-1.0/combined_20260908_042129/block00_sched_only
hotspot,1.0,0.9991912455985659,16834658304,0,prefetch_only,5.010898,6.435464,6.435464,810.317,344.559,1.9073486328125,hotspot/ratio-1.0/combined_20260908_042129/block00_prefetch_only
hotspot,1.0,0.9991912455985659,16834658304,0,memory_only,5.046758,6.446343,6.446343,808.699,344.55,1.9073486328125,hotspot/ratio-1.0/combined_20260908_042129/block00_memory_only
hotspot,1.0,0.9991912455985659,16834658304,0,combined,3.105268,5.541618,5.541618,344.467,344.499,3.0994415283203125,hotspot/ratio-1.0/combined_20260908_042129/block00_combined
hotspot,1.0,0.9991912455985659,16834658304,1,sched_only,3.521627,5.320281,5.320281,344.523,344.6,1.9073486328125,hotspot/ratio-1.0/combined_20260908_042129/block01_sched_only
hotspot,1.0,0.9991912455985659,16834658304,1,prefetch_only,5.039399,6.446978,6.446978,805.559,344.645,2.1457672119140625,hotspot/ratio-1.0/combined_20260908_042129/block01_prefetch_only
hotspot,1.0,0.9991912455985659,16834658304,1,memory_only,5.022031,6.45209,6.45209,801.693,344.602,1.9073486328125,hotspot/ratio-1.0/combined_20260908_042129/block01_memory_only
hotspot,1.0,0.9991912455985659,16834658304,1,combined,3.097199,5.521763,5.521763,344.52,344.631,2.1457672119140625,hotspot/ratio-1.0/combined_20260908_042129/block01_combined
hotspot,1.0,0.9991912455985659,16834658304,1,baseline,17.871424,18.149304,18.149304,3698.04,3418.95,0.0,hotspot/ratio-1.0/combined_20260908_042129/block01_baseline
hotspot,1.0,0.9991912455985659,16834658304,2,prefetch_only,5.017377,6.388505,6.388505,791.409,344.588,0.95367431640625,hotspot/ratio-1.0/combined_20260908_042129/block02_prefetch_only
hotspot,1.0,0.9991912455985659,16834658304,2,memory_only,4.985595,6.404289,6.404289,804.868,344.673,1.9073486328125,hotspot/ratio-1.0/combined_20260908_042129/block02_memory_only
hotspot,1.0,0.9991912455985659,16834658304,2,combined,3.085938,5.520933,5.520933,344.505,344.622,2.86102294921875,hotspot/ratio-1.0/combined_20260908_042129/block02_combined
hotspot,1.0,0.9991912455985659,16834658304,2,baseline,18.691954,18.443971,18.691954,3993.29,3979.94,0.95367431640625,hotspot/ratio-1.0/combined_20260908_042129/block02_baseline
hotspot,1.0,0.9991912455985659,16834658304,2,sched_only,3.508393,5.336497,5.336497,344.562,344.674,1.9073486328125,hotspot/ratio-1.0/combined_20260908_042129/block02_sched_only
hotspot,1.0,0.9991912455985659,16834658304,3,memory_only,4.964574,6.410535,6.410535,809.171,344.635,3.0994415283203125,hotspot/ratio-1.0/combined_20260908_042129/block03_memory_only
hotspot,1.0,0.9991912455985659,16834658304,3,combined,3.095543,5.531711,5.531711,344.464,344.629,0.95367431640625,hotspot/ratio-1.0/combined_20260908_042129/block03_combined
hotspot,1.0,0.9991912455985659,16834658304,3,baseline,18.896274,18.657367,18.896274,4085.36,4062.73,0.95367431640625,hotspot/ratio-1.0/combined_20260908_042129/block03_baseline
hotspot,1.0,0.9991912455985659,16834658304,3,sched_only,3.498893,5.293973,5.293973,344.527,344.567,3.0994415283203125,hotspot/ratio-1.0/combined_20260908_042129/block03_sched_only
hotspot,1.0,0.9991912455985659,16834658304,3,prefetch_only,5.030219,6.406591,6.406591,804.741,344.661,2.86102294921875,hotspot/ratio-1.0/combined_20260908_042129/block03_prefetch_only
hotspot,1.0,0.9991912455985659,16834658304,4,combined,3.049145,5.498529,5.498529,344.571,344.643,4.0531158447265625,hotspot/ratio-1.0/combined_20260908_042129/block04_combined
